Name,Profession,Degree,Field,Institution,Graduation Year,Country,University Global Ranking,GPA (or Equivalent),Scholarship/Award
Ralph Lauren,Fashion Designer,Attended,Business,Baruch College,1964,USA,NaN,NaN,CFDA Lifetime Achievement
Vera Wang,Fashion Designer,Bachelor of Arts,Art History,Sarah Lawrence College,1971,USA,NaN,NaN,CFDA Award
Tom Ford,Fashion Designer,Bachelor of Fine Arts,Architecture,Parsons School of Design,1986,USA,NaN,NaN,CFDA Award
Diane von Furstenberg,Fashion Designer,Bachelor's Degree,Economics,University of Geneva,1969,Switzerland,NaN,NaN,CFDA President
Marc Jacobs,Fashion Designer,Bachelor of Fine Arts,Fashion Design,Parsons School of Design,1984,USA,NaN,NaN,CFDA Award
Alexander McQueen,Fashion Designer,Master of Arts,Fashion,Central Saint Martins,1992,UK,NaN,NaN,British Designer of the Year
Miuccia Prada,Fashion Designer,Doctor of Philosophy,Political Science,University of Milan,1973,Italy,NaN,NaN,Fashion Legend
Christian Dior,Fashion Designer,Attended,Political Science,Sciences Po Paris,1928,France,NaN,NaN,Fashion Icon
Martin Luther King Jr,Civil Rights Leader,Doctor of Philosophy,Systematic Theology,Boston University,1955,USA,43,NaN,Nobel Peace Prize 1964
Nelson Mandela,Political Leader,Bachelor of Laws,Law,University of South Africa,1989,South Africa,NaN,NaN,Nobel Peace Prize 1993
Mahatma Gandhi,Political Leader,Bachelor of Laws,Law,University College London,1891,UK,9,NaN,Father of Indian Nation
Desmond Tutu,Religious Leader,Master of Theology,Theology,King's College London,1966,UK,35,NaN,Nobel Peace Prize 1984
Cesar Chavez,Labor Leader,8th Grade Education,NaN,NaN,1942,USA,NaN,NaN,Presidential Medal of Freedom
Rosa Parks,Civil Rights Activist,High School Diploma,NaN,Alabama State Teachers College,1933,USA,NaN,NaN,Congressional Gold Medal
Greta Thunberg,Climate Activist,High School Student,NaN,Ongoing Education,2023,Sweden,NaN,NaN,Time Person of the Year 2019
Wangari Maathai,Environmental Activist,Doctor of Philosophy,Veterinary Anatomy,University of Nairobi,1971,Kenya,NaN,NaN,Nobel Peace Prize 2004
Betty Friedan,Feminist,Bachelor of Arts,Psychology,Smith College,1942,USA,NaN,Summa Cum Laude,Feminist Pioneer
Gloria Steinem,Feminist,Bachelor of Arts,Government,Smith College,1956,USA,NaN,Magna Cum Laude,Presidential Medal of Freedom
Kofi Annan,Diplomat,Master of Science,Management,Massachusetts Institute of Technology,1972,USA,1,NaN,Nobel Peace Prize 2001
Aung San Suu Kyi,Political Leader,Bachelor of Arts,Philosophy Politics Economics,University of Oxford,1967,UK,4,NaN,Nobel Peace Prize 1991
Shirin Ebadi,Lawyer,Doctor of Jurisprudence,Law,University of Tehran,1969,Iran,NaN,NaN,Nobel Peace Prize 2003
Muhammad Yunus,Economist,Doctor of Philosophy,Economics,Vanderbilt University,1969,USA,18,NaN,Nobel Peace Prize 2006
Paul Krugman,Economist,Doctor of Philosophy,Economics,Massachusetts Institute of Technology,1977,USA,1,NaN,Nobel Prize in Economics 2008
Joseph Stiglitz,Economist,Doctor of Philosophy,Economics,Massachusetts Institute of Technology,1967,USA,1,NaN,Nobel Prize in Economics 2001
Amartya Sen,Economist,Doctor of Philosophy,Economics,University of Cambridge,1959,UK,4,NaN,Nobel Prize in Economics 1998
Thomas Piketty,Economist,Doctor of Philosophy,Economics,London School of Economics,1993,UK,45,NaN,Capital in 21st Century Author
Janet Yellen,Economist,Doctor of Philosophy,Economics,Yale University,1971,USA,11,NaN,First Female Treasury Secretary
Gordon Ramsay,Chef,Diploma,Hotel Management,North Oxon Technical College,1987,UK,NaN,NaN,16 Michelin Stars
Julia Child,Chef,Bachelor of Arts,History,Smith College,1934,USA,NaN,NaN,Presidential Medal of Freedom
Anthony Bourdain,Chef,Associate Degree,Culinary Arts,Culinary Institute of America,1978,USA,NaN,NaN,Emmy Award
Wolfgang Puck,Chef,Apprenticeship,Culinary Arts,Hotel de Paris,1973,France,NaN,NaN,James Beard Award
Thomas Keller,Chef,Self-Taught,Culinary Arts,Restaurant Training,NaN,USA,NaN,NaN,3 Michelin Stars
Muhammad Ali,Athlete,High School Graduate,NaN,Central High School,1960,USA,NaN,NaN,3x World Heavyweight Champion
Pelé,Athlete,Did Not Attend,NaN,NaN,NaN,Brazil,NaN,NaN,3x World Cup Champion
Lionel Messi,Athlete,Youth Academy,Football,La Masia Barcelona,2004,Spain,NaN,NaN,8x Ballon d'Or
Cristiano Ronaldo,Athlete,Youth Academy,Football,Sporting CP Academy,2003,Portugal,NaN,NaN,5x Ballon d'Or
Billie Jean King,Athlete,Bachelor of Arts,History,Los Angeles State College,1964,USA,NaN,NaN,39 Grand Slam Titles
Xi Jinping,Political Leader,Doctor of Philosophy,Law,Tsinghua University,2002,China,25,NaN,President of China
Vladimir Putin,Political Leader,Candidate of Sciences,Economics,Saint Petersburg State University,1997,Russia,242,NaN,President of Russia
Narendra Modi,Political Leader,Master of Arts,Political Science,Gujarat University,1983,India,NaN,NaN,Prime Minister of India
Jacinda Ardern,Political Leader,Bachelor of Communication Studies,Public Relations and Political Science,University of Waikato,2001,New Zealand,NaN,NaN,Prime Minister of New Zealand
Volodymyr Zelensky,Political Leader,Law Degree,Law,Kyiv National Economic University,2000,Ukraine,NaN,NaN,President of Ukraine
Joko Widodo,Political Leader,Bachelor of Engineering,Forestry,Gadjah Mada University,1985,Indonesia,254,NaN,President of Indonesia
Recep Tayyip Erdogan,Political Leader,Bachelor's Degree,Business Administration,Marmara University,1981,Turkey,NaN,NaN,President of Turkey
Boris Johnson,Political Leader,Bachelor of Arts,Classics,University of Oxford,1987,UK,4,NaN,Prime Minister UK
Rishi Sunak,Political Leader,Master of Business Administration,Business,Stanford University,2006,USA,3,NaN,Prime Minister UK
Benjamin Netanyahu,Political Leader,Master of Science,Business Management,Massachusetts Institute of Technology,1976,USA,1,NaN,Prime Minister Israel
Tim Berners-Lee,Computer Scientist,Bachelor of Arts,Physics,University of Oxford,1976,UK,4,NaN,Inventor of World Wide Web
Linus Torvalds,Software Engineer,Master of Science,Computer Science,University of Helsinki,1996,Finland,106,NaN,Creator of Linux
Vint Cerf,Computer Scientist,Doctor of Philosophy,Computer Science,University of California Los Angeles,1972,USA,14,NaN,Father of Internet
Bob Kahn,Computer Scientist,Doctor of Philosophy,Electrical Engineering,Princeton University,1964,USA,16,NaN,Turing Award
Dennis Ritchie,Computer Scientist,Doctor of Philosophy,Mathematics,Harvard University,1968,USA,5,NaN,Creator of C Language
Ken Thompson,Computer Scientist,Master of Science,Electrical Engineering,University of California Berkeley,1966,USA,10,NaN,Creator of Unix
Guido van Rossum,Computer Scientist,Master of Science,Mathematics and Computer Science,University of Amsterdam,1982,Netherlands,53,NaN,Creator of Python
Brendan Eich,Computer Scientist,Master of Science,Computer Science,University of Illinois,1986,USA,65,NaN,Creator of JavaScript
James Gosling,Computer Scientist,Doctor of Philosophy,Computer Science,Carnegie Mellon University,1983,USA,52,NaN,Creator of Java
Bjarne Stroustrup,Computer Scientist,Doctor of Philosophy,Computer Science,University of Cambridge,1979,UK,4,NaN,Creator of C++
Frank Lloyd Wright,Architect,Attended,Civil Engineering,University of Wisconsin,1890,USA,NaN,NaN,AIA Gold Medal
Zaha Hadid,Architect,Bachelor of Architecture,Architecture,Architectural Association,1977,UK,NaN,NaN,Pritzker Prize 2004
I M Pei,Architect,Master of Architecture,Architecture,Harvard University,1946,USA,5,NaN,Pritzker Prize 1983
Norman Foster,Architect,Master of Architecture,Architecture,Yale University,1962,USA,11,NaN,Pritzker Prize 1999
Rem Koolhaas,Architect,Architecture Degree,Architecture,Architectural Association,1972,UK,NaN,NaN,Pritzker Prize 2000
Frank Gehry,Architect,Bachelor of Architecture,Architecture,University of Southern California,1954,USA,28,NaN,Pritzker Prize 1989
Tadao Ando,Architect,Self-Taught,Architecture,Autodidact,NaN,Japan,NaN,NaN,Pritzker Prize 1995
Renzo Piano,Architect,Architecture Degree,Architecture,Politecnico di Milano,1964,Italy,123,NaN,Pritzker Prize 1998
Santiago Calatrava,Architect,Doctor of Technical Sciences,Civil Engineering,ETH Zurich,1981,Switzerland,8,NaN,AIA Gold Medal
Jean Nouvel,Architect,Architecture Degree,Architecture,École des Beaux-Arts,1972,France,NaN,NaN,Pritzker Prize 2008
Sam Walton,Entrepreneur,Bachelor of Arts,Economics,University of Missouri,1940,USA,NaN,NaN,Walmart Founder
Walt Disney,Entrepreneur,High School Graduate,NaN,McKinley High School,1917,USA,NaN,NaN,Disney Founder
Henry Ford,Industrialist,Apprenticeship,Engineering,Trade School,1891,USA,NaN,NaN,Ford Motor Founder
John D Rockefeller,Industrialist,Business School,Business,Folsom's Commercial College,1855,USA,NaN,NaN,Standard Oil Founder
Andrew Carnegie,Industrialist,Elementary Education,NaN,Limited Formal Education,1848,USA,NaN,NaN,Carnegie Steel Founder
J P Morgan,Banker,Attended,Art History,University of Göttingen,1856,Germany,NaN,NaN,Banking Pioneer
Cornelius Vanderbilt,Business Magnate,No Formal Education,NaN,Self-Educated,NaN,USA,NaN,NaN,Railroad Tycoon
Thomas Edison,Inventor,3 months formal schooling,NaN,Home-Schooled,1859,USA,NaN,NaN,1093 US Patents
Nikola Tesla,Inventor,Engineering Studies,Electrical Engineering,Austrian Polytechnic,1878,Austria,NaN,NaN,AC Current Pioneer
Alexander Graham Bell,Inventor,Bachelor of Arts,Latin and Greek,University College London,1870,UK,9,NaN,Telephone Inventor
Isaac Newton,Physicist,Master of Arts,Mathematics,University of Cambridge,1668,UK,4,NaN,Scientific Revolution
Galileo Galilei,Astronomer,Medical Studies Incomplete,Medicine,University of Pisa,1585,Italy,NaN,NaN,Father of Modern Science
Charles Darwin,Naturalist,Bachelor of Arts,Theology,University of Cambridge,1831,UK,4,NaN,Theory of Evolution
Louis Pasteur,Chemist,Doctor of Sciences,Chemistry,University of Paris,1847,France,NaN,NaN,Germ Theory Pioneer
Max Planck,Physicist,Doctor of Philosophy,Physics,University of Munich,1879,Germany,59,NaN,Nobel Prize in Physics 1918
Niels Bohr,Physicist,Doctor of Philosophy,Physics,University of Copenhagen,1911,Denmark,84,NaN,Nobel Prize in Physics 1922
Werner Heisenberg,Physicist,Doctor of Philosophy,Physics,University of Munich,1923,Germany,59,NaN,Nobel Prize in Physics 1932
Erwin Schrödinger,Physicist,Doctor of Philosophy,Physics,University of Vienna,1910,Austria,134,NaN,Nobel Prize in Physics 1933
Enrico Fermi,Physicist,Doctor of Philosophy,Physics,University of Pisa,1922,Italy,NaN,NaN,Nobel Prize in Physics 1938
J Robert Oppenheimer,Physicist,Doctor of Philosophy,Physics,University of Göttingen,1927,Germany,NaN,NaN,Manhattan Project Leader
William Shakespeare,Playwright,Grammar School,Latin and Classics,King's New School,1579,England,NaN,NaN,Greatest Writer
Jane Austen,Author,Home Education,Literature,Private Tutoring,NaN,England,NaN,NaN,Literary Icon
Charles Dickens,Author,Limited Formal Education,NaN,Wellington House Academy,1827,England,NaN,NaN,Victorian Era Master
Mark Twain,Author,5th Grade Education,NaN,Apprenticeship,1847,USA,NaN,NaN,American Literary Icon
Leo Tolstoy,Author,Attended,Law and Oriental Languages,University of Kazan,1844,Russia,NaN,NaN,War and Peace Author
Fyodor Dostoevsky,Author,Military Engineering,Engineering,Military Engineering Institute,1843,Russia,NaN,NaN,Crime and Punishment Author
Gabriel García Márquez,Author,Law Studies Incomplete,Law,National University of Colombia,1947,Colombia,NaN,NaN,Nobel Prize in Literature 1982
Isabel Allende,Author,Private Education,NaN,Private Schools,1959,Chile,NaN,NaN,Presidential Medal of Freedom
Paulo Coelho,Author,Law School Dropout,Law,Law School,1966,Brazil,NaN,NaN,The Alchemist Author
Salman Rushdie,Author,Master of Arts,History,King's College Cambridge,1968,UK,4,NaN,Booker Prize
Meryl Streep,Actress,Master of Fine Arts,Drama,Yale School of Drama,1975,USA,11,NaN,3x Oscar Winner
Tom Hanks,Actor,Attended,Theater,California State University,1977,USA,NaN,NaN,2x Oscar Winner
Denzel Washington,Actor,Bachelor of Arts,Drama and Journalism,Fordham University,1977,USA,NaN,NaN,2x Oscar Winner
Viola Davis,Actress,Master of Fine Arts,Acting,Juilliard School,1993,USA,NaN,NaN,EGOT Winner
Cate Blanchett,Actress,Bachelor of Fine Arts,Fine Arts,National Institute of Dramatic Art,1992,Australia,NaN,NaN,2x Oscar Winner
Daniel Day-Lewis,Actor,Drama Training,Acting,Bristol Old Vic Theatre School,1979,UK,NaN,NaN,3x Oscar Winner
Frances McDormand,Actress,Master of Fine Arts,Acting,Yale School of Drama,1982,USA,11,NaN,3x Oscar Winner
Anthony Hopkins,Actor,Diploma,Acting,Royal Academy of Dramatic Art,1963,UK,NaN,NaN,2x Oscar Winner
Judi Dench,Actress,Drama Training,Acting,Central School of Speech and Drama,1957,UK,NaN,NaN,Oscar Winner
Helen Mirren,Actress,Attended,Teaching,New College of Speech and Drama,1965,UK,NaN,NaN,Oscar Winner
Jerry Seinfeld,Comedian,Bachelor of Arts,Communications and Theater,Queens College,1976,USA,NaN,NaN,Emmy Winner
Ellen DeGeneres,Comedian,Attended,Communication Studies,University of New Orleans,1976,USA,NaN,NaN,Emmy Winner
Steve Martin,Comedian,Bachelor of Arts,Theater,California State University Long Beach,1967,USA,NaN,NaN,Grammy Winner
Tina Fey,Comedian,Bachelor of Arts,Drama,University of Virginia,1992,USA,25,NaN,Emmy Winner
Amy Poehler,Comedian,Bachelor of Arts,Media and Communications,Boston College,1993,USA,NaN,NaN,Emmy Winner
Stephen Colbert,Comedian,Bachelor of Arts,Philosophy,Northwestern University,1986,USA,27,NaN,Emmy Winner
Jimmy Fallon,Comedian,Bachelor of Arts,Communications,College of Saint Rose,1995,USA,NaN,NaN,Emmy Winner
John Oliver,Comedian,Bachelor of Arts,English,University of Cambridge,1995,UK,4,NaN,Emmy Winner
Conan O'Brien,Comedian,Bachelor of Arts,History and Literature,Harvard University,1985,USA,5,Magna Cum Laude,Emmy Winner
Elizabeth Blackwell,Physician,Doctor of Medicine,Medicine,Geneva Medical College,1849,USA,NaN,NaN,First Woman MD in USA
Florence Nightingale,Nurse,Nursing Training,Nursing,Institute of Protestant Deaconesses,1851,Germany,NaN,NaN,Founder of Modern Nursing
Paul Farmer,Physician,Doctor of Medicine and PhD,Medicine and Anthropology,Harvard University,1990,USA,5,NaN,Partners in Health Founder
Atul Gawande,Surgeon,Doctor of Medicine,Medicine,Harvard Medical School,1995,USA,5,NaN,MacArthur Fellow
Sanjay Gupta,Neurosurgeon,Doctor of Medicine,Medicine,University of Michigan,1993,USA,24,NaN,Emmy Winner
Ben Carson,Neurosurgeon,Doctor of Medicine,Medicine,University of Michigan,1977,USA,24,NaN,Presidential Medal of Freedom
Oliver Sacks,Neurologist,Doctor of Medicine,Medicine,University of Oxford,1960,UK,4,NaN,Author and Physician
Anthony Fauci,Immunologist,Doctor of Medicine,Medicine,Cornell University,1966,USA,21,NaN,Presidential Medal of Freedom
Francis Collins,Geneticist,Doctor of Medicine and PhD,Medicine and Physical Chemistry,University of North Carolina,1977,USA,29,NaN,Human Genome Project Leader
Robert Gallo,Virologist,Doctor of Medicine,Medicine,Jefferson Medical College,1963,USA,NaN,NaN,HIV Co-Discoverer
Sara Blakely,Entrepreneur,Bachelor of Arts,Communications,Florida State University,1993,USA,NaN,NaN,Spanx Founder
Arianna Huffington,Entrepreneur,Master of Arts,Economics,University of Cambridge,1972,UK,4,NaN,HuffPost Founder
Martha Stewart,Entrepreneur,Bachelor of Arts,Art History and Architectural History,Barnard College,1963,USA,NaN,NaN,Lifestyle Mogul
Meg Whitman,Tech Executive,Master of Business Administration,Business,Harvard Business School,1979,USA,2,NaN,eBay Former CEO
Jack Dorsey,Tech Entrepreneur,Dropped Out,Computer Science,Missouri University of Science,1997,USA,NaN,NaN,Twitter Founder
Stewart Butterfield,Tech Entrepreneur,Master of Arts,Philosophy,University of Cambridge,1998,UK,4,NaN,Slack Founder
Venus Williams,Athlete,Bachelor of Science,Business Administration,Indiana University East,2015,USA,NaN,NaN,7x Grand Slam Champion
Shaquille O'Neal,Athlete,Doctorate in Education,Education,Barry University,2012,USA,NaN,NaN,4x NBA Champion
Stephen Curry,Athlete,Bachelor of Arts,Sociology,Davidson College,2022,USA,NaN,NaN,4x NBA Champion
Russell Wilson,Athlete,Bachelor of Arts,Communications,North Carolina State University,2010,USA,NaN,3.7,Super Bowl Champion
Andrew Luck,Athlete,Bachelor of Science,Architectural Design,Stanford University,2012,USA,3,3.5,NFL MVP
Jeremy Lin,Athlete,Bachelor of Arts,Economics,Harvard University,2010,USA,5,3.1,Linsanity
Kareem Abdul-Jabbar,Athlete,Bachelor of Arts,History,University of California Los Angeles,1969,USA,14,NaN,6x NBA Champion
Magic Johnson,Athlete,Bachelor of Arts,Communications,Michigan State University,1979,USA,NaN,NaN,5x NBA Champion
David Robinson,Athlete,Bachelor of Science,Mathematics,United States Naval Academy,1987,USA,NaN,NaN,2x NBA Champion
Tim Duncan,Athlete,Bachelor of Arts,Psychology,Wake Forest University,1997,USA,NaN,NaN,5x NBA Champion
Ruth Bader Ginsburg,Supreme Court Justice,Bachelor of Arts,Government,Cornell University,1954,USA,21,NaN,Supreme Court Justice
Sonia Sotomayor,Supreme Court Justice,Juris Doctor,Law,Yale Law School,1979,USA,11,NaN,Supreme Court Justice
Elena Kagan,Supreme Court Justice,Juris Doctor,Law,Harvard Law School,1986,USA,5,Magna Cum Laude,Supreme Court Justice
Thurgood Marshall,Supreme Court Justice,Bachelor of Arts,Pre-Law,Lincoln University,1930,USA,NaN,Cum Laude,First Black Justice
Sandra Day O'Connor,Supreme Court Justice,Bachelor of Arts,Economics,Stanford University,1950,USA,3,Magna Cum Laude,First Female Justice
Clarence Thomas,Supreme Court Justice,Juris Doctor,Law,Yale Law School,1974,USA,11,NaN,Supreme Court Justice
John Roberts,Chief Justice,Juris Doctor,Law,Harvard Law School,1979,USA,5,Magna Cum Laude,Chief Justice USA
Amy Coney Barrett,Supreme Court Justice,Juris Doctor,Law,University of Notre Dame,1997,USA,227,Summa Cum Laude,Supreme Court Justice
Brett Kavanaugh,Supreme Court Justice,Juris Doctor,Law,Yale Law School,1990,USA,11,NaN,Supreme Court Justice
Neil Gorsuch,Supreme Court Justice,Juris Doctor,Law,Harvard Law School,1991,USA,5,NaN,Supreme Court Justice
Noam Chomsky,Linguist,Doctor of Philosophy,Linguistics,University of Pennsylvania,1955,USA,13,NaN,Father of Modern Linguistics
Michel Foucault,Philosopher,Agrégation,Philosophy,École Normale Supérieure,1951,France,NaN,NaN,Postmodern Philosopher
Judith Butler,Philosopher,Doctor of Philosophy,Philosophy,Yale University,1984,USA,11,NaN,Gender Theory Pioneer
Cornel West,Philosopher,Doctor of Philosophy,Philosophy,Princeton University,1980,USA,16,NaN,Public Intellectual
Martha Nussbaum,Philosopher,Doctor of Philosophy,Philosophy,Harvard University,1975,USA,5,NaN,Capabilities Approach
Sigmund Freud,Psychologist,Doctor of Medicine,Medicine,University of Vienna,1881,Austria,134,NaN,Father of Psychoanalysis
Carl Jung,Psychologist,Doctor of Medicine,Medicine,University of Basel,1902,Switzerland,NaN,NaN,Analytical Psychology Founder
B F Skinner,Psychologist,Doctor of Philosophy,Psychology,Harvard University,1931,USA,5,NaN,Behaviorism Pioneer
Jean Piaget,Psychologist,Doctor of Philosophy,Natural Sciences,University of Neuchâtel,1918,Switzerland,NaN,NaN,Developmental Psychology
Erik Erikson,Psychologist,No Formal Degree,Psychoanalysis,Vienna Psychoanalytic Institute,1933,Austria,NaN,NaN,Identity Crisis Theory
Carol Dweck,Psychologist,Doctor of Philosophy,Psychology,Yale University,1972,USA,11,NaN,Growth Mindset Theory
Daniel Kahneman,Psychologist,Doctor of Philosophy,Psychology,University of California Berkeley,1961,USA,10,NaN,Nobel Prize in Economics 2002
Angela Duckworth,Psychologist,Doctor of Philosophy,Psychology,University of Pennsylvania,2006,USA,13,NaN,Grit Theory Author
Martin Seligman,Psychologist,Doctor of Philosophy,Psychology,University of Pennsylvania,1967,USA,13,NaN,Positive Psychology Founder
Steven Pinker,Psychologist,Doctor of Philosophy,Experimental Psychology,Harvard University,1979,USA,5,NaN,Language Instinct Author
Alicia Keys,Musician,Attended,Professional Performance Arts,Columbia University,1998,USA,19,NaN,15x Grammy Winner
Rashida Jones,Actress,Bachelor of Arts,Comparative Religion,Harvard University,1997,USA,5,NaN,Emmy Nominee
Brooke Shields,Actress,Bachelor of Arts,French Literature,Princeton University,1987,USA,16,NaN,Golden Globe Nominee
Lupita Nyong'o,Actress,Master of Fine Arts,Acting,Yale School of Drama,2012,USA,11,NaN,Oscar Winner
James Franco,Actor,Master of Fine Arts,Multiple Disciplines,Various Universities,2010,USA,NaN,NaN,Golden Globe Winner
Jodie Foster,Actress,Bachelor of Arts,Literature,Yale University,1985,USA,11,Magna Cum Laude,2x Oscar Winner
David Duchovny,Actor,Master of Arts,English Literature,Yale University,1986,USA,11,NaN,Golden Globe Winner
Ashley Judd,Actress,Master of Public Administration,Public Administration,Harvard Kennedy School,2010,USA,5,NaN,Emmy Nominee
Evan Williams,Tech Entrepreneur,Attended,Computer Science,University of Nebraska,1993,USA,NaN,NaN,Twitter Co-founder
Biz Stone,Tech Entrepreneur,Bachelor of Arts,Fine Arts,Northeastern University,1999,USA,NaN,NaN,Twitter Co-founder
Jan Koum,Tech Entrepreneur,Dropped Out,Computer Science and Mathematics,San Jose State University,1997,USA,NaN,NaN,WhatsApp Co-founder
Brian Acton,Tech Entrepreneur,Bachelor of Science,Computer Science,Stanford University,1994,USA,3,NaN,WhatsApp Co-founder
Jan Ullrich,Tech Entrepreneur,Bachelor of Science,Computer Science,University of Michigan,1991,USA,24,NaN,Box CEO
Chad Hurley,Tech Entrepreneur,Bachelor of Fine Arts,Fine Arts,Indiana University of Pennsylvania,1999,USA,NaN,NaN,YouTube Co-founder
Steve Chen,Tech Entrepreneur,Bachelor of Science,Computer Science,University of Illinois,2002,USA,65,NaN,YouTube Co-founder
Jawed Karim,Tech Entrepreneur,Bachelor of Science,Computer Science,University of Illinois,2004,USA,65,NaN,YouTube Co-founder
Max Levchin,Tech Entrepreneur,Bachelor of Science,Computer Science,University of Illinois,1997,USA,65,NaN,PayPal Co-founder
Luke Nosek,Tech Entrepreneur,Bachelor of Science,Computer Science,University of Illinois,1996,USA,65,NaN,PayPal Co-founder
Madeleine Albright,Diplomat,Doctor of Philosophy,Public Law and Government,Columbia University,1976,USA,19,NaN,First Female Secretary of State
Condoleezza Rice,Diplomat,Doctor of Philosophy,Political Science,University of Denver,1981,USA,NaN,NaN,Secretary of State
Henry Kissinger,Diplomat,Doctor of Philosophy,Government,Harvard University,1954,USA,5,Summa Cum Laude,Nobel Peace Prize 1973
Colin Powell,Military Leader,Master of Business Administration,Business,George Washington University,1971,USA,NaN,NaN,Secretary of State
John McCain,Politician,Bachelor of Science,Naval Sciences,United States Naval Academy,1958,USA,NaN,NaN,POW and Senator
Elizabeth Warren,Politician,Juris Doctor,Law,Rutgers Law School,1976,USA,NaN,NaN,US Senator
Bernie Sanders,Politician,Bachelor of Arts,Political Science,University of Chicago,1964,USA,10,NaN,US Senator
Alexandria Ocasio-Cortez,Politician,Bachelor of Arts,Economics and International Relations,Boston University,2011,USA,43,Cum Laude,US Representative
Pete Buttigieg,Politician,Bachelor of Arts,History and Literature,Harvard University,2004,USA,5,Magna Cum Laude,Rhodes Scholar
Tulsi Gabbard,Politician,Bachelor of Science,Business Administration,Hawaii Pacific University,2009,USA,NaN,3.8,US Representative
Tu Youyou,Pharmaceutical Chemist,Bachelor's Degree,Pharmacy,Beijing Medical College,1955,China,NaN,NaN,Nobel Prize in Medicine 2015
Yoshinori Ohsumi,Cell Biologist,Doctor of Science,Biology,University of Tokyo,1974,Japan,26,NaN,Nobel Prize in Medicine 2016
Katalin Karikó,Biochemist,Doctor of Philosophy,Biochemistry,University of Szeged,1982,Hungary,NaN,NaN,mRNA Vaccine Pioneer
Drew Weissman,Immunologist,Doctor of Medicine and PhD,Medicine and Immunology,Boston University,1987,USA,43,NaN,Nobel Prize in Medicine 2023
Robert Langer,Chemical Engineer,Doctor of Philosophy,Chemical Engineering,Massachusetts Institute of Technology,1974,USA,1,NaN,Most Cited Engineer
George Church,Geneticist,Doctor of Philosophy,Biochemistry,Harvard University,1984,USA,5,NaN,CRISPR Pioneer
Feng Zhang,Neuroscientist,Doctor of Philosophy,Chemistry,Stanford University,2009,USA,3,NaN,CRISPR Pioneer
David Liu,Chemist,Doctor of Philosophy,Chemistry,University of California Berkeley,1999,USA,10,NaN,Base Editing Pioneer
Demis Hassabis,AI Researcher,Doctor of Philosophy,Cognitive Neuroscience,University College London,2009,UK,9,NaN,DeepMind Founder
Geoffrey Hinton,Computer Scientist,Doctor of Philosophy,Artificial Intelligence,University of Edinburgh,1978,UK,NaN,NaN,Godfather of AI
Yann LeCun,Computer Scientist,Doctor of Philosophy,Computer Science,Pierre and Marie Curie University,1987,France,NaN,NaN,Deep Learning Pioneer
Yoshua Bengio,Computer Scientist,Doctor of Philosophy,Computer Science,McGill University,1991,Canada,31,NaN,Turing Award 2018
Andrew Ng,Computer Scientist,Doctor of Philosophy,Computer Science,University of California Berkeley,2002,USA,10,NaN,AI Education Pioneer
Fei-Fei Li,Computer Scientist,Doctor of Philosophy,Electrical Engineering,California Institute of Technology,2005,USA,7,NaN,ImageNet Creator
Daphne Koller,Computer Scientist,Doctor of Philosophy,Computer Science,Stanford University,1993,USA,3,NaN,Coursera Co-founder
Barbara Walters,Journalist,Bachelor of Arts,English,Sarah Lawrence College,1951,USA,NaN,NaN,Emmy Winner
Dan Rather,Journalist,Bachelor of Arts,Journalism,Sam Houston State University,1953,USA,NaN,NaN,Peabody Award
Tom Brokaw,Journalist,Bachelor of Arts,Political Science,University of South Dakota,1964,USA,NaN,NaN,Emmy Winner
Diane Sawyer,Journalist,Bachelor of Arts,English,Wellesley College,1967,USA,NaN,NaN,Emmy Winner
Peter Jennings,Journalist,High School Graduate,NaN,Trinity College School,1959,Canada,NaN,NaN,Emmy Winner
Nate Silver,Statistician,Bachelor of Arts,Economics,University of Chicago,2000,USA,10,NaN,FiveThirtyEight Founder
Yuval Noah Harari,Historian,Doctor of Philosophy,History,University of Oxford,2002,UK,4,NaN,Sapiens Author
Jared Diamond,Geographer,Doctor of Philosophy,Physiology,University of Cambridge,1961,UK,4,NaN,Pulitzer Prize Winner
Doris Kearns Goodwin,Historian,Doctor of Philosophy,Government,Harvard University,1968,USA,5,NaN,Pulitzer Prize Winner
David Attenborough,Broadcaster,Bachelor of Arts,Natural Sciences,University of Cambridge,1947,UK,4,NaN,Nature Documentary Icon
Brian Cox,Physicist,Doctor of Philosophy,Particle Physics,University of Manchester,1998,UK,27,NaN,Science Communicator
Neil Tyson,Astrophysicist,Doctor of Philosophy,Astrophysics,Columbia University,1991,USA,19,NaN,Science Communicator
Brian Greene,Physicist,Doctor of Philosophy,Physics,University of Oxford,1987,UK,4,NaN,String Theory Expert
Lisa Randall,Physicist,Doctor of Philosophy,Physics,Harvard University,1987,USA,5,NaN,Theoretical Physics
Michio Kaku,Physicist,Doctor of Philosophy,Physics,University of California Berkeley,1972,USA,10,NaN,Futurist Author
Lawrence Krauss,Physicist,Doctor of Philosophy,Physics,Massachusetts Institute of Technology,1982,USA,1,NaN,Cosmologist
Kip Thorne,Physicist,Doctor of Philosophy,Physics,Princeton University,1965,USA,16,NaN,Nobel Prize in Physics 2017
Roger Penrose,Mathematician,Doctor of Philosophy,Mathematics,University of Cambridge,1958,UK,4,NaN,Nobel Prize in Physics 2020
Andrea Ghez,Astronomer,Doctor of Philosophy,Physics,California Institute of Technology,1992,USA,7,NaN,Nobel Prize in Physics 2020
